zip_code,total_count
94063,3667
nil,15385
94070,8397
94064,4
93292,4
94124,2306
94025,9452
94707,2420
94107,106913
94117,12549
95122,1060
95112,15420
60305,4
95054,1836
95031,7
95131,936
94587,1151
95148,1086
95121,215
95158,2
94110,10446
95132,120
95051,3930
94564,67
94041,7716
95110,8688
95136,1504
95126,4318
95219,85
94560,265
95124,1606
96706,2
95106,77
95120,1531
9133,2
97035,24
95116,303
95125,1697
44139,11
95123,874
95164,48
94105,61232
94042,541
89139,13
44,409
95070,782
95113,6950
94541,539
27518,7
95111,1559
89450,41
95109,405
91745,17
94538,855
90069,100
95050,1965
94545,138
95138,430
96145,37
54751,33
82901,2
28403,15
94043,4868
56,44
94086,5248
94610,10628
95128,794
6901,4
95127,441
94089,1253
94618,4922
98004,35
94044,2264
95134,1373
94551,992
94555,420
95407,22
91803,20
,6803
94104,4278
92117,32
95008,2003
90706,15
11106,28
97217,34
94536,871
94118,5563
95212,5
95035,1360
7882,6
94115,5748
94103,38072
10035,11
92692,35
75229,14
20001,92
98513,7
60564,16
84092,11
37204,13
