zip_code,trip_count
94107,106913
94105,61232
94133,46544
94103,38072
94111,33642
94102,30222
94109,19043
95112,15420
94158,13673
94611,13198
94117,12549
94403,10934
94602,10926
94610,10628
94110,10446
94040,10276
94501,10179
94114,9544
94025,9452
94010,9251
94108,9064
95110,8688
94070,8397
94041,7716
94608,7670
94404,7268
94087,7014
95113,6950
94402,6941
94002,6808
94306,6709
94301,6493
94401,6473
94122,6295
94303,6145
94062,5749
94115,5748
94609,5698
94118,5563
94112,5352
94086,5248
94061,5246
94131,5073
94903,5019
94618,4922
95014,4887
94043,4868
94612,4543
94030,4484
94941,4451
95126,4318
94104,4278
94549,3938
95051,3930
94703,3870
94901,3721
94705,3720
94063,3667
94960,3617
94065,3560
94121,3544
94702,3458
94066,3211
94116,3091
94123,2908
94706,2788
94920,2612
95129,2570
94606,2533
94024,2486
94707,2420
94904,2405
94530,2347
94124,2306
94925,2295
94597,2272
94044,2264
94607,2260
94590,2254
94708,2244
94588,2215
94558,2203
94132,2198
94704,2189
94022,2181
94710,2166
94127,2166
94510,2068
94939,2044
95130,2029
95008,2003
95050,1965
94080,1909
94085,1841
95054,1836
94965,1726
95125,1697
94568,1663
94591,1632
94930,1630
94015,1628
95124,1606
94709,1604
95032,1599
94598,1561
95111,1559
95120,1531
94523,1515
95136,1504
94305,1495
94945,1485
94596,1449
94949,1403
94804,1399
95134,1373
95035,1360
95118,1358
94605,1258
94089,1253
94502,1239
94563,1224
1,1210
94582,1196
94587,1151
94534,1095
94947,1092
95148,1086
94601,1086
95122,1060
94539,1053
94577,1050
94556,1038
94518,1024
94551,992
95037,979
94129,974
94521,971
94579,964
94595,960
95030,948
94553,938
95131,936
94566,933
95119,933
94619,912
94014,899
94544,892
94803,879
94550,876
95123,874
94536,871
95020,870
94538,855
94134,837
94952,827
94130,824
95060,821
95128,794
94565,791
95070,782
95377,721
94547,658
94517,573
94503,566
93401,550
94042,541
94541,539
31,537
94309,500
94526,495
94552,476
94119,470
94546,464
94170,463
94028,449
95127,441
95138,430
94973,425
94555,420
95616,417
94005,415
44,409
95109,405
89451,404
9611,400
81,388
94507,381
95401,366
94519,323
94040-1724,320
2139,310
95116,303
97214,293
92064,289
94957,288
90210,284
95620,279
61,268
94560,265
94037,259
10011,253
94806,252
94027,246
92506,245
11201,240
95608,234
94506,226
90291,223
98103,218
10009,216
95121,215
94531,215
95476,213
5112,211
49,211
94931,209
94542,203
60614,202
60622,202
2780,201
94017,197
55,193
52,187
60091,180
94164,179
86,179
94019,179
94583,178
20009,176
94801,176
33,172
94126,172
27330,170
93922,169
84060,167
